"ParkName","UnitCode","ParkType","Region","State","Year","Month","RecreationVisits","NonRecreationVisits","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","ParkNameTotal","UnitCodeTotal","ParkTypeTotal","RegionTotal","StateTotal","YearTotal","RecreationVisitsTotal","NonRecreationVisitsTotal","RecreationHoursTotal","NonRecreationHoursTotal","ConcessionerLodgingTotal","ConcessionerCampingTotal","TentCampersTotal","RVCampersTotal","BackcountryTotal","NonRecreationOvernightStaysTotal","MiscellaneousOvernightStaysTotal"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,1,"18,887","476","94,216","476","0","0","0","0","298","616","396","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,2,"20,325","396","104,978","396","0","0","0","0","226","450","346","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,3,"32,263","1,125","259,306","1,125","0","0","0","0","1,309","1,098","1,714","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,4,"33,888","1,070","322,936","1,070","0","0","0","0","1,775","594","1,328","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,5,"37,528","2,495","443,485","2,495","0","0","0","0","2,747","2,830","2,732","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,6,"44,852","1,196","568,134","1,196","0","0","0","0","3,051","1,220","3,375","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,7,"56,194","1,082","677,662","1,082","0","0","0","0","3,729","1,256","3,285","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,8,"40,750","734","492,759","734","0","0","0","0","3,107","1,156","5,049","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,9,"33,063","834","391,828","834","0","0","0","0","3,189","608","4,964","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,10,"25,495","1,046","262,857","1,046","0","0","0","0","2,084","1,521","2,934","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
