"Category","park","n"
"Bird","Biscayne",233
"Bird","Black Canyon",175
"Bird","Channel Islands",357
"Bird","Death Valley",531
"Bird","Dry Tortugas",283
"Bird","Everglades",370
"Bird","Great Sand Dunes",240
"Bird","Joshua Tree",301
"Bird","Lassen Volcanic",245
"Bird","Mesa Verde",237
"Bird","Pinnacles",170
"Bird","Redwoods",501
"Bird","Rocky Mountain",277
"Bird","Yosemite",270
"Mammal","Biscayne",28
"Mammal","Black Canyon",67
"Mammal","Channel Islands",44
"Mammal","Death Valley",212
"Mammal","Dry Tortugas",6
"Mammal","Everglades",42
"Mammal","Great Sand Dunes",68
"Mammal","Joshua Tree",67
"Mammal","Lassen Volcanic",100
"Mammal","Mesa Verde",86
"Mammal","Pinnacles",60
"Mammal","Redwoods",154
"Mammal","Rocky Mountain",74
"Mammal","Yosemite",88
